lung	testis	colon	small intestine	kidney	stomach
AKT1	1	0	0	0	0	0
ALOX15	0	0	1	0	0	0
AMER1	0	0	0	0	1	0
APC	1	0	1	1	0	1
ARCN1	1	0	0	0	0	0
ASCL1	1	0	0	0	0	0
ATF3	1	0	0	0	0	0
ATOH1	0	0	1	0	0	0
BAP1	1	0	0	0	1	0
BCL2	1	0	0	0	0	0
BCL9	0	0	1	0	0	0
BRAF	1	0	1	0	1	0
CASR	0	0	1	0	0	1
CBX7	0	0	0	0	0	1
CCND1	1	0	1	0	0	1
CDH1	1	0	0	0	0	1
CDH17	0	0	0	0	0	1
CDK5	0	0	0	0	0	1
CDK8	0	0	1	0	0	0
CDKN1A	0	0	1	0	0	1
CDKN2A	1	0	1	0	0	1
CFTR	0	0	0	1	0	0
CPNE1	1	0	0	0	0	0
CREBBP	1	0	0	0	0	0
CRKL	1	0	0	0	0	0
CTNNB1	0	0	1	0	1	0
CXCR4	1	0	0	0	1	0
CYLD	1	0	0	0	0	0
DCC	0	0	1	0	0	0
DLC1	1	0	0	0	0	0
DNMT3A	1	0	0	0	0	0
DTL	0	0	0	0	0	1
E2F2	0	0	1	0	0	0
ECT2	1	0	0	0	0	0
EGFR	1	0	1	0	1	1
EGR1	1	0	0	0	0	0
ERBB2	1	0	1	0	0	1
ERBB3	1	0	0	0	0	0
ETS1	1	0	0	0	0	0
EZH2	1	0	0	0	0	0
FGFR1	1	0	0	0	0	0
FGFR2	0	0	0	0	0	1
FOS	1	0	1	0	0	0
FOXM1	1	0	0	0	0	0
FPR1	0	0	0	0	0	1
GOLPH3	1	0	0	0	0	0
GPC5	1	0	0	0	0	0
GRP	1	0	0	0	0	0
HACE1	0	0	0	0	1	0
HCAR2	0	0	1	0	0	0
HGF	1	0	0	0	0	1
HNF1A	0	0	1	0	0	0
IGFBP7	1	0	0	0	0	1
IL6	1	0	0	0	0	0
INPP4B	0	0	1	0	0	0
JUN	1	0	0	0	0	0
KANK1	0	0	0	0	1	0
KEAP1	1	0	0	0	0	0
KIF4A	1	0	0	0	0	0
KIF5B	1	0	0	0	0	0
KIT	1	1	0	0	0	0
KRAS	1	0	1	1	1	1
LARP7	0	0	0	0	0	1
LATS2	1	0	0	0	0	0
LIMD1	1	0	0	0	0	0
LMO1	1	0	0	0	0	0
LOX	0	0	0	0	0	1
MAP2K4	1	0	0	0	0	0
MAPK1	1	0	0	0	0	0
MARK2	1	0	1	0	0	1
MEN1	1	0	0	0	0	0
MET	1	0	1	0	1	1
METTL3	1	0	0	0	1	0
MMP2	1	0	0	0	0	0
MYB	1	0	1	0	0	0
MYC	1	0	1	0	1	1
NFKB1	1	0	0	0	0	0
NOTCH1	1	0	0	0	0	1
NRAS	1	0	0	0	0	0
NT5C1A	0	0	0	0	1	0
NTRK1	0	0	1	0	0	0
PCNA	1	0	0	0	0	0
PDX1	0	0	0	0	0	1
PIK3CA	1	0	0	0	0	1
PPP1R1B	0	0	0	0	0	1
PRKCI	1	0	0	0	0	0
PSMA6	1	0	0	0	0	0
PTEN	1	0	1	0	1	1
PTGDR	1	0	1	0	0	1
PTGS2	1	0	1	0	0	0
PTPN13	1	0	0	0	0	0
PTPRD	1	0	0	0	0	0
PTRH2	1	0	0	0	0	0
PTTG1	1	0	0	0	0	0
RAB25	0	0	1	0	0	0
RAB37	1	0	0	0	0	0
RAF1	1	0	0	0	0	0
RAP1A	1	0	0	0	0	0
RASAL1	0	0	0	0	0	1
RASSF1	1	0	1	0	1	1
RB1	1	0	0	0	0	0
RBL2	1	0	0	0	0	0
RBM5	1	0	0	0	0	0
RET	1	0	1	0	1	0
ROCK1	1	0	0	0	0	0
RRAS	0	0	0	0	0	1
RUNX1	0	0	0	0	0	1
RUNX3	1	0	0	0	0	1
S100A8	0	0	0	0	0	1
SALL4	0	0	1	0	0	1
SETD2	1	0	0	0	1	0
SETD7	0	0	0	0	0	1
SETDB1	1	0	0	0	0	0
SIRT3	1	0	0	0	0	0
SIRT4	0	0	0	0	0	1
SIRT7	1	0	0	0	0	1
SMAD4	0	0	1	0	1	1
SMARCA4	1	0	0	0	0	0
SOD2	0	0	0	0	0	1
SOX2	1	0	1	0	0	1
SOX9	1	0	0	0	0	0
SPARC	0	0	0	0	0	1
SRC	1	0	1	0	1	0
STAT3	1	0	1	0	0	1
STK11	1	0	0	0	0	0
SYK	1	0	0	0	0	1
TAZ	1	0	0	0	0	1
TCF3	0	0	0	0	0	1
TDP2	1	0	0	0	0	0
TGFBI	1	0	0	0	0	0
TLE1	1	0	0	0	0	0
TMED3	0	0	1	0	0	0
TP53	1	0	1	0	1	1
TRAF6	1	0	0	0	0	0
TRIM11	1	0	0	0	0	0
TRIM25	0	0	0	0	0	1
TRIM29	0	0	0	0	0	1
TTF1	1	0	0	0	0	0
UBA7	1	0	0	0	0	0
UBE2C	1	0	0	0	0	1
VEGFA	0	0	0	0	1	0
VHL	0	0	0	0	1	0
WNT10A	0	0	0	0	1	0
WNT7A	1	0	0	0	0	0
YAP1	1	0	0	0	0	1
YBX1	1	0	0	0	0	0
YEATS4	1	0	0	0	0	0
YY1	1	0	0	0	0	0
ZEB1	1	0	0	0	0	0
ZYG11A	1	0	0	0	0	0
