orig	orig_type	dest	dest_type	int
GGH	gvirus	NIT2	gcancer	cov2
RHOA	gvirus	FOS	gcancer	cov2
RHOA	gvirus	RRAS	gcancer	cov2
RHOA	gvirus	NTRK1	gcancer	cov2
RAB7A	gvirus	NTRK1	gcancer	cov2
PRKACA	gvirus	PPARA	gcancer	cov2
PRKACA	gvirus	FOS	gcancer	cov2
AP2A2	gvirus	NTRK1	gcancer	cov2
GNB1	gvirus	RRAS	gcancer	cov2
TBK1	gvirus	CYLD	gcancer	cov2
PRKAR2A	gvirus	RHOA	gcancer	cov2
RALA	gvirus	RHOA	gcancer	cov2
PRKACA	gvirus	RHOA	gcancer	cov2
RTN4	gvirus	RHOA	gcancer	cov2
GNB1	gvirus	RHOA	gcancer	cov2
RHOA	gvirus	SMURF1	gcancer	cov2
RHOA	gvirus	CTNNB1	gcancer	cov2
CSNK2B	gvirus	CTNNB1	gcancer	cov2
TLE3	gvirus	CTNNB1	gcancer	cov2
RAB7A	gvirus	CTNNB1	gcancer	cov2
PRKACA	gvirus	PTGDR	gcancer	cov2
PRKACA	gvirus	CTNNB1	gcancer	cov2
TRIM32	gvirus	SMURF1	gcancer	cov2
GNB1	gvirus	PTGDR	gcancer	cov2
GNB1	gvirus	HCAR2	gcancer	cov2
STK3	gvirus	RASSF1	gcancer	cov2
RALA	gvirus	SRC	gcancer	cov2
RHOA	gvirus	SRC	gcancer	cov2
GORASP1	gvirus	TMED3	gcancer	cov2
PTGES2	gvirus	PTGS2	gcancer	cov2
AP2A2	gvirus	TMED3	gcancer	cov2
PVR	gvirus	SRC	gcancer	cov2
GNB1	gvirus	CASR	gcancer	cov2
GNB1	gvirus	SRC	gcancer	cov2
RAB1A	gvirus	TMED3	gcancer	cov2
COMMD8	gvirus	FBXL5	gcancer	cov2
RHOA	gvirus	PKN2	gcancer	cov2
RHOA	gvirus	ERBB2	gcancer	cov2
COMMD3	gvirus	FBXL5	gcancer	cov2
TLE3	gvirus	LEF1	gcancer	cov2
TLE3	gvirus	APC	gcancer	cov2
PABPC1	gvirus	HNRNPA1	gcancer	cov2
PRKACA	gvirus	ERBB2	gcancer	cov2
GDF15	gvirus	ATF3	gcancer	cov2
CCDC22	gvirus	FBXL5	gcancer	cov2
COMMD9	gvirus	FBXL5	gcancer	cov2
TRIM32	gvirus	FBXL5	gcancer	cov2
RHOA	gvirus	DCC	gcancer	cov2
BRD4	gvirus	TP53	gcancer	cov2
CSNK2B	gvirus	TP53	gcancer	cov2
GDF15	gvirus	TP53	gcancer	cov2
TRIM32	gvirus	TP53	gcancer	cov2
COMMD8	gvirus	FBXW7	gcancer	cov2
COMMD3	gvirus	FBXW7	gcancer	cov2
PRKACA	gvirus	FOXO3	gcancer	cov2
CCDC22	gvirus	FBXW7	gcancer	cov2
COMMD9	gvirus	FBXW7	gcancer	cov2
TRIM32	gvirus	FBXW7	gcancer	cov2
STK3	gvirus	YAP1	gcancer	cov2
PRKAR2A	gvirus	CFTR	gcancer	cov2
NUP214	gvirus	TOP2A	gcancer	cov2
BRD4	gvirus	SIRT1	gcancer	cov2
CSNK2B	gvirus	TOP2A	gcancer	cov2
PRKACA	gvirus	CFTR	gcancer	cov2
PRKACA	gvirus	RET	gcancer	cov2
PRKACA	gvirus	SOX9	gcancer	cov2
AP2A2	gvirus	CFTR	gcancer	cov2
OS9	gvirus	CFTR	gcancer	cov2
ANO6	gvirus	CFTR	gcancer	cov2
GNB1	gvirus	CFTR	gcancer	cov2
ERLEC1	gvirus	CFTR	gcancer	cov2
RALA	gvirus	KRAS	gcancer	cov2
ITGB1	gvirus	RHOA	gcancer	cov2
RHOA	gvirus	KRAS	gcancer	cov2
TLE3	gvirus	BCL9	gcancer	cov2
GNB1	gvirus	KRAS	gcancer	cov2
RHOA	gvirus	EGFR	gcancer	cov2
RHOA	gvirus	CCND1	gcancer	cov2
RAB7A	gvirus	EGFR	gcancer	cov2
AP2A2	gvirus	EGFR	gcancer	cov2
LOX	gvirus	EGFR	gcancer	cov2
GPX1	gvirus	ALOX15	gcancer	cov2
LOX	gvirus	ALOX15	gcancer	cov2
STK3	gvirus	STK4	gcancer	cov2
PMPCA	gvirus	INPP4B	gcancer	cov2
DDX10	gvirus	METTL1	gcancer	cov2
RALA	gvirus	NRAS	gcancer	cov2
RHOA	gvirus	NRAS	gcancer	cov2
RHOA	gvirus	CDKN1A	gcancer	cov2
ANO6	gvirus	NRAS	gcancer	cov2
GNB1	gvirus	NRAS	gcancer	cov2
RAB10	gvirus	RAB25	gcancer	cov2
NUP214	gvirus	SMAD4	gcancer	cov2
RHOA	gvirus	MYC	gcancer	cov2
BRD4	gvirus	MYC	gcancer	cov2
RAB2A	gvirus	RAB25	gcancer	cov2
RAB7A	gvirus	RAB25	gcancer	cov2
AATF	gvirus	E2F2	gcancer	cov2
SNIP1	gvirus	SMAD4	gcancer	cov2
RAB1A	gvirus	RAB25	gcancer	cov2
RHOA	gvirus	PIK3CA	gcancer	cov2
RHOA	gvirus	MET	gcancer	cov2
RHOA	gvirus	PTEN	gcancer	cov2
CSNK2B	gvirus	PTEN	gcancer	cov2
PRKACA	gvirus	BRAF	gcancer	cov2
USP13	gvirus	PTEN	gcancer	cov2
GNB1	gvirus	PIK3CA	gcancer	cov2
PMPCA	gvirus	PTEN	gcancer	cov2
WFS1	gvirus	SPARCL1	gcancer	cov2
AP2M1	gvirus	NTRK1	gcancer	cov2
FBN1	gvirus	SPARCL1	gcancer	cov2
RIPK1	gvirus	CYLD	gcancer	cov2
ACADM	gvirus	PPARA	gcancer	cov2
MFGE8	gvirus	SPARCL1	gcancer	cov2
GOLGA7	gvirus	NIT2	gcancer	cov2
HMOX1	gvirus	FOS	gcancer	cov2
RAP1GDS1	gvirus	RHOA	gcancer	cov2
IDE	gvirus	IGF1	gcancer	cov2
ARF6	gvirus	RHOA	gcancer	cov2
ITGB1	gvirus	RHOA	gcancer	cov2
RDX	gvirus	RHOA	gcancer	cov2
NUTF2	gvirus	CTNNB1	gcancer	cov2
SLC9A3R1	gvirus	CTNNB1	gcancer	cov2
RNF41	gvirus	SMURF1	gcancer	cov2
CUL2	gvirus	SMURF1	gcancer	cov2
DNMT1	gvirus	RASSF1	gcancer	cov2
FBXL12	gvirus	SMURF1	gcancer	cov2
RBX1	gvirus	SMURF1	gcancer	cov2
RBX1	gvirus	CTNNB1	gcancer	cov2
AP3B1	gvirus	SRC	gcancer	cov2
AP2M1	gvirus	TMED3	gcancer	cov2
ARF6	gvirus	SRC	gcancer	cov2
ITGB1	gvirus	SRC	gcancer	cov2
PTPN13	gvirus	SRC	gcancer	cov2
HMOX1	gvirus	PTGS2	gcancer	cov2
CWC27	gvirus	HNRNPA1	gcancer	cov2
COMMD5	gvirus	FBXL5	gcancer	cov2
RNF41	gvirus	FBXL5	gcancer	cov2
RNF41	gvirus	ERBB2	gcancer	cov2
CUL2	gvirus	FBXL5	gcancer	cov2
CPSF3	gvirus	HNRNPA1	gcancer	cov2
DNMT1	gvirus	TET1	gcancer	cov2
FBXL12	gvirus	FBXL5	gcancer	cov2
COMMD10	gvirus	FBXL5	gcancer	cov2
RBX1	gvirus	FBXL5	gcancer	cov2
RBX1	gvirus	APC	gcancer	cov2
DNMT1	gvirus	TP53	gcancer	cov2
HMOX1	gvirus	TP53	gcancer	cov2
COMMD5	gvirus	FBXW7	gcancer	cov2
RNF41	gvirus	FBXW7	gcancer	cov2
ARF6	gvirus	HGF	gcancer	cov2
CUL2	gvirus	FBXW7	gcancer	cov2
DNMT1	gvirus	SOX2	gcancer	cov2
ITGB1	gvirus	HGF	gcancer	cov2
FBXL12	gvirus	FBXW7	gcancer	cov2
COMMD10	gvirus	FBXW7	gcancer	cov2
RBX1	gvirus	FBXW7	gcancer	cov2
SLC9A3R1	gvirus	CFTR	gcancer	cov2
POLA1	gvirus	TOP2A	gcancer	cov2
RAE1	gvirus	TOP2A	gcancer	cov2
AP2M1	gvirus	CFTR	gcancer	cov2
DNMT1	gvirus	SIRT1	gcancer	cov2
NUP210	gvirus	TOP2A	gcancer	cov2
CEP55	gvirus	TOP2A	gcancer	cov2
NUP54	gvirus	TOP2A	gcancer	cov2
CENPF	gvirus	TOP2A	gcancer	cov2
BRD2	gvirus	KRAS	gcancer	cov2
BRD2	gvirus	RUNX3	gcancer	cov2
AP3B1	gvirus	KRAS	gcancer	cov2
RBX1	gvirus	CDK8	gcancer	cov2
SLC9A3R1	gvirus	EGFR	gcancer	cov2
BRD2	gvirus	CCND1	gcancer	cov2
RNF41	gvirus	EGFR	gcancer	cov2
AP2M1	gvirus	EGFR	gcancer	cov2
ARF6	gvirus	EGFR	gcancer	cov2
ARF6	gvirus	CDKN2A	gcancer	cov2
ITGB1	gvirus	EGFR	gcancer	cov2
RRP9	gvirus	METTL1	gcancer	cov2
AP3B1	gvirus	NRAS	gcancer	cov2
MIB1	gvirus	MARK2	gcancer	cov2
RBX1	gvirus	CDKN1A	gcancer	cov2
STOM	gvirus	NRAS	gcancer	cov2
HDAC2	gvirus	DNMT1	gcancer	cov2
DNMT1	gvirus	E2F2	gcancer	cov2
DNMT1	gvirus	MYC	gcancer	cov2
SLC9A3R1	gvirus	PTEN	gcancer	cov2
AP3B1	gvirus	BRAF	gcancer	cov2
FGFR1OP	gvirus	STAT3	gcancer	cov2
FGFR1OP	gvirus	PIK3CA	gcancer	cov2
ARF6	gvirus	PIK3CA	gcancer	cov2
ARF6	gvirus	MET	gcancer	cov2
DNMT1	gvirus	STAT3	gcancer	cov2
DNMT1	gvirus	DNMT3B	gcancer	cov2
DNMT1	gvirus	PTEN	gcancer	cov2
ITGB1	gvirus	STAT3	gcancer	cov2
ITGB1	gvirus	PIK3CA	gcancer	cov2
ITGB1	gvirus	MET	gcancer	cov2
ITGB1	gvirus	PTEN	gcancer	cov2
PTPN13	gvirus	STAT3	gcancer	cov2
PTPN13	gvirus	PTEN	gcancer	cov2
HMOX1	gvirus	STAT3	gcancer	cov2
POR	gvirus	FOS	gcancer	cov2
NEU1	gvirus	NIT2	gcancer	cov2
ERP44	gvirus	NIT2	gcancer	cov2
NPTX1	gvirus	NIT2	gcancer	cov2
STC2	gvirus	SPARCL1	gcancer	cov2
GTF2F2	gvirus	FGFR2	gcancer	cov2
PRKAR2B	gvirus	RHOA	gcancer	cov2
GNG5	gvirus	RHOA	gcancer	cov2
SCCPDH	gvirus	IGF1	gcancer	cov2
CIT	gvirus	RHOA	gcancer	cov2
STK4	gvirus	RASSF1	gcancer	cov2
UBE3A	gvirus	SMURF1	gcancer	cov2
UBE3A	gvirus	CTNNB1	gcancer	cov2
HERC2	gvirus	SMURF1	gcancer	cov2
GNG5	gvirus	PTGDR	gcancer	cov2
GNG5	gvirus	HCAR2	gcancer	cov2
HDAC2	gvirus	CTNNB1	gcancer	cov2
TLE1	gvirus	CTNNB1	gcancer	cov2
HECTD1	gvirus	SMURF1	gcancer	cov2
PSMD8	gvirus	CTNNB1	gcancer	cov2
CSNK2A2	gvirus	CTNNB1	gcancer	cov2
SAV1	gvirus	RASSF1	gcancer	cov2
LRRC41	gvirus	SMURF1	gcancer	cov2
F2RL1	gvirus	CASR	gcancer	cov2
GOLGB1	gvirus	TMED3	gcancer	cov2
GNG5	gvirus	CASR	gcancer	cov2
MOV10	gvirus	SRC	gcancer	cov2
GOLGA2	gvirus	TMED3	gcancer	cov2
MARK3	gvirus	SRC	gcancer	cov2
AKAP9	gvirus	SRC	gcancer	cov2
SLU7	gvirus	HNRNPA1	gcancer	cov2
UBE3A	gvirus	FBXL5	gcancer	cov2
HERC2	gvirus	FBXL5	gcancer	cov2
TLE1	gvirus	LEF1	gcancer	cov2
TLE1	gvirus	APC	gcancer	cov2
HECTD1	gvirus	FBXL5	gcancer	cov2
PSMD8	gvirus	APC	gcancer	cov2
COMMD1	gvirus	FBXL5	gcancer	cov2
GTF2F2	gvirus	HNRNPA1	gcancer	cov2
LRRC41	gvirus	FBXL5	gcancer	cov2
DNA2	gvirus	TP53	gcancer	cov2
SIRT5	gvirus	TP53	gcancer	cov2
UBE3A	gvirus	TP53	gcancer	cov2
TRIM59	gvirus	TP53	gcancer	cov2
HDAC2	gvirus	TP53	gcancer	cov2
HDAC2	gvirus	SIRT6	gcancer	cov2
MOV10	gvirus	TP53	gcancer	cov2
PSMD8	gvirus	TP53	gcancer	cov2
CSNK2A2	gvirus	TP53	gcancer	cov2
STK4	gvirus	FOXO3	gcancer	cov2
STK4	gvirus	YAP1	gcancer	cov2
SIRT5	gvirus	FOXO3	gcancer	cov2
UBE3A	gvirus	FBXW7	gcancer	cov2
HERC2	gvirus	FBXW7	gcancer	cov2
HDAC2	gvirus	SIRT3	gcancer	cov2
MOV10	gvirus	FOXO3	gcancer	cov2
HECTD1	gvirus	FBXW7	gcancer	cov2
GOLGA2	gvirus	GOLPH3	gcancer	cov2
SCCPDH	gvirus	HGF	gcancer	cov2
COMMD1	gvirus	FBXW7	gcancer	cov2
SAV1	gvirus	YAP1	gcancer	cov2
LRRC41	gvirus	FBXW7	gcancer	cov2
NUP88	gvirus	TOP2A	gcancer	cov2
RAB5C	gvirus	CFTR	gcancer	cov2
NUP62	gvirus	TOP2A	gcancer	cov2
DNA2	gvirus	TOP2A	gcancer	cov2
PRKAR2B	gvirus	CFTR	gcancer	cov2
HDAC2	gvirus	SIRT1	gcancer	cov2
