orig	orig_type	dest	dest_type	int
TLE3	gvirus	APC	gcancer	cov2
PRKAR2A	gvirus	CFTR	gcancer	cov2
PRKACA	gvirus	CFTR	gcancer	cov2
AP2A2	gvirus	CFTR	gcancer	cov2
OS9	gvirus	CFTR	gcancer	cov2
ANO6	gvirus	CFTR	gcancer	cov2
GNB1	gvirus	CFTR	gcancer	cov2
ERLEC1	gvirus	CFTR	gcancer	cov2
RALA	gvirus	KRAS	gcancer	cov2
RHOA	gvirus	KRAS	gcancer	cov2
GNB1	gvirus	KRAS	gcancer	cov2
RBX1	gvirus	APC	gcancer	cov2
SLC9A3R1	gvirus	CFTR	gcancer	cov2
AP2M1	gvirus	CFTR	gcancer	cov2
BRD2	gvirus	KRAS	gcancer	cov2
AP3B1	gvirus	KRAS	gcancer	cov2
TLE1	gvirus	APC	gcancer	cov2
PSMD8	gvirus	APC	gcancer	cov2
RAB5C	gvirus	CFTR	gcancer	cov2
PRKAR2B	gvirus	CFTR	gcancer	cov2
PSMD8	gvirus	CFTR	gcancer	cov2
SIL1	gvirus	KRAS	gcancer	cov2
MARK3	gvirus	KRAS	gcancer	cov2
AKAP9	gvirus	KRAS	gcancer	cov2
