orig	orig_type	dest	dest_type	int
NGDN	gvirus	MTOR	gcancer	cov2
RHOA	gvirus	FOS	gcancer	cov2
PRKACA	gvirus	FOS	gcancer	cov2
RAB7A	gvirus	LRRK2	gcancer	cov2
RHOA	gvirus	CTNNB1	gcancer	cov2
CSNK2B	gvirus	CTNNB1	gcancer	cov2
TLE3	gvirus	CTNNB1	gcancer	cov2
RAB7A	gvirus	CTNNB1	gcancer	cov2
PRKACA	gvirus	CTNNB1	gcancer	cov2
STK3	gvirus	RASSF1	gcancer	cov2
COMMD8	gvirus	VHL	gcancer	cov2
RALA	gvirus	SRC	gcancer	cov2
RHOA	gvirus	SRC	gcancer	cov2
COMMD3	gvirus	VHL	gcancer	cov2
BRD4	gvirus	VHL	gcancer	cov2
CCDC22	gvirus	VHL	gcancer	cov2
COMMD9	gvirus	VHL	gcancer	cov2
TRIM32	gvirus	VHL	gcancer	cov2
PVR	gvirus	SRC	gcancer	cov2
GNB1	gvirus	SRC	gcancer	cov2
TMED5	gvirus	WNT10A	gcancer	cov2
GNB1	gvirus	CXCR4	gcancer	cov2
BRD4	gvirus	TP53	gcancer	cov2
CSNK2B	gvirus	TP53	gcancer	cov2
GDF15	gvirus	TP53	gcancer	cov2
TRIM32	gvirus	TP53	gcancer	cov2
PRKAR2A	gvirus	BCL2	gcancer	cov2
UBAP2L	gvirus	BAP1	gcancer	cov2
PRKACA	gvirus	RET	gcancer	cov2
COMMD8	gvirus	COMMD10	gcancer	cov2
RALA	gvirus	KRAS	gcancer	cov2
RHOA	gvirus	KRAS	gcancer	cov2
DCAF7	gvirus	COMMD10	gcancer	cov2
COMMD3	gvirus	COMMD10	gcancer	cov2
AATF	gvirus	RB1	gcancer	cov2
CCDC22	gvirus	COMMD10	gcancer	cov2
COMMD9	gvirus	COMMD10	gcancer	cov2
TRIM32	gvirus	HACE1	gcancer	cov2
GNB1	gvirus	KRAS	gcancer	cov2
RHOA	gvirus	EGFR	gcancer	cov2
RAB7A	gvirus	EGFR	gcancer	cov2
AP2A2	gvirus	EGFR	gcancer	cov2
LOX	gvirus	EGFR	gcancer	cov2
TBK1	gvirus	SQSTM1	gcancer	cov2
