orig	orig_type	dest	dest_type	int
NGDN	gvirus	MTOR	gcancer	cov2
PRKAR2A	gvirus	MAPK1	gcancer	cov2
GGH	gvirus	MAPK1	gcancer	cov2
POFUT1	gvirus	NOTCH3	gcancer	cov2
PKP2	gvirus	PI3	gcancer	cov2
RHOA	gvirus	MAPK1	gcancer	cov2
RHOA	gvirus	FOS	gcancer	cov2
RHOA	gvirus	NTRK1	gcancer	cov2
PTGES2	gvirus	MAPK1	gcancer	cov2
RAB2A	gvirus	MAPK1	gcancer	cov2
RAB7A	gvirus	NTRK1	gcancer	cov2
PRKACA	gvirus	TTF1	gcancer	cov2
PRKACA	gvirus	MAPK1	gcancer	cov2
PRKACA	gvirus	FOS	gcancer	cov2
PRKACA	gvirus	NCOA3	gcancer	cov2
PRKACA	gvirus	ARAF	gcancer	cov2
CYB5R3	gvirus	MAPK1	gcancer	cov2
AP2A2	gvirus	MAPK1	gcancer	cov2
AP2A2	gvirus	NTRK1	gcancer	cov2
GNB1	gvirus	MAPK1	gcancer	cov2
TBK1	gvirus	CYLD	gcancer	cov2
RAB10	gvirus	RAB1A	gcancer	cov2
EIF4H	gvirus	RPS15A	gcancer	cov2
PABPC1	gvirus	RPS15A	gcancer	cov2
UPF1	gvirus	RPS15A	gcancer	cov2
TRIM32	gvirus	ITCH	gcancer	cov2
MPHOSPH10	gvirus	RPS15A	gcancer	cov2
SRP72	gvirus	RPS15A	gcancer	cov2
TUBGCP2	gvirus	HSP90AA1	gcancer	cov2
GGH	gvirus	NFKB1	gcancer	cov2
RALA	gvirus	KIF3A	gcancer	cov2
RALA	gvirus	RAC1	gcancer	cov2
RHOA	gvirus	PLCE1	gcancer	cov2
RHOA	gvirus	CDH2	gcancer	cov2
RHOA	gvirus	HSP90AA1	gcancer	cov2
RHOA	gvirus	EPHA3	gcancer	cov2
RHOA	gvirus	CTNNB1	gcancer	cov2
RHOA	gvirus	RAC1	gcancer	cov2
BRD4	gvirus	SMARCA4	gcancer	cov2
CSNK2B	gvirus	CTNNB1	gcancer	cov2
TLE3	gvirus	SMARCA4	gcancer	cov2
TLE3	gvirus	HSP90AA1	gcancer	cov2
TLE3	gvirus	CTNNB1	gcancer	cov2
RAB7A	gvirus	KIF3A	gcancer	cov2
RAB7A	gvirus	CTNNB1	gcancer	cov2
GRPEL1	gvirus	HSP90AA1	gcancer	cov2
PRKACA	gvirus	PTGDR	gcancer	cov2
PRKACA	gvirus	HSP90AA1	gcancer	cov2
PRKACA	gvirus	NFKB1	gcancer	cov2
PRKACA	gvirus	CTNNB1	gcancer	cov2
AP2A2	gvirus	NCALD	gcancer	cov2
GNB1	gvirus	PTGDR	gcancer	cov2
GNB1	gvirus	RAC1	gcancer	cov2
TBK1	gvirus	NFKB1	gcancer	cov2
TBK1	gvirus	TRAF6	gcancer	cov2
STK3	gvirus	RASSF1	gcancer	cov2
PPFIBP1	gvirus	PTPRD	gcancer	cov2
TMED5	gvirus	WNT7A	gcancer	cov2
RAB2A	gvirus	RAB1A	gcancer	cov2
RAB1A	gvirus	KIF3A	gcancer	cov2
COMMD8	gvirus	UBE2M	gcancer	cov2
COMMD8	gvirus	FBXW2	gcancer	cov2
PRKAR2A	gvirus	GLI1	gcancer	cov2
RALA	gvirus	SRC	gcancer	cov2
RALGAPB	gvirus	FBXW2	gcancer	cov2
NUP214	gvirus	NPM1	gcancer	cov2
RHOA	gvirus	ECT2	gcancer	cov2
RHOA	gvirus	AKT1	gcancer	cov2
RHOA	gvirus	SRC	gcancer	cov2
DCAF7	gvirus	UBE2M	gcancer	cov2
COMMD3	gvirus	UBE2M	gcancer	cov2
COMMD3	gvirus	FBXW2	gcancer	cov2
TLE3	gvirus	CREBBP	gcancer	cov2
PTGES2	gvirus	PTGS2	gcancer	cov2
PTGES2	gvirus	CREBBP	gcancer	cov2
PRKACA	gvirus	GLI1	gcancer	cov2
GDF15	gvirus	AKT1	gcancer	cov2
CCDC22	gvirus	UBE2M	gcancer	cov2
CCDC22	gvirus	FBXW2	gcancer	cov2
COMMD9	gvirus	UBE2M	gcancer	cov2
COMMD9	gvirus	FBXW2	gcancer	cov2
TRIM32	gvirus	UBE2M	gcancer	cov2
TRIM32	gvirus	FBXW2	gcancer	cov2
PVR	gvirus	SRC	gcancer	cov2
LOX	gvirus	AKT1	gcancer	cov2
ANO6	gvirus	RAP2B	gcancer	cov2
GNB1	gvirus	AKT1	gcancer	cov2
GNB1	gvirus	SRC	gcancer	cov2
SNIP1	gvirus	CREBBP	gcancer	cov2
COMMD8	gvirus	SKP2	gcancer	cov2
LMAN2	gvirus	RAB1A	gcancer	cov2
RAB10	gvirus	SFN	gcancer	cov2
RAB10	gvirus	RAB1A	gcancer	cov2
PRKAR2A	gvirus	PXN	gcancer	cov2
NUP214	gvirus	PML	gcancer	cov2
RHOA	gvirus	PTP4A3	gcancer	cov2
RHOA	gvirus	KIF5B	gcancer	cov2
RHOA	gvirus	PXN	gcancer	cov2
RHOA	gvirus	TIAM1	gcancer	cov2
RHOA	gvirus	ERBB2	gcancer	cov2
GORASP1	gvirus	RAB1A	gcancer	cov2
COMMD3	gvirus	SKP2	gcancer	cov2
TLE3	gvirus	APC	gcancer	cov2
RAB2A	gvirus	RAB1A	gcancer	cov2
RAB7A	gvirus	KIF5B	gcancer	cov2
RAB7A	gvirus	RAB1A	gcancer	cov2
AATF	gvirus	E2F3	gcancer	cov2
PRKACA	gvirus	PXN	gcancer	cov2
PRKACA	gvirus	ERBB2	gcancer	cov2
GDF15	gvirus	ATF3	gcancer	cov2
CCDC22	gvirus	SKP2	gcancer	cov2
COMMD9	gvirus	SKP2	gcancer	cov2
TRIM32	gvirus	SKP2	gcancer	cov2
USP13	gvirus	SKP2	gcancer	cov2
GNB1	gvirus	PXN	gcancer	cov2
GNB1	gvirus	CXCR4	gcancer	cov2
RAB1A	gvirus	KIF5B	gcancer	cov2
COMMD8	gvirus	COPS5	gcancer	cov2
AAR2	gvirus	COPS5	gcancer	cov2
DCAF7	gvirus	COPS5	gcancer	cov2
COMMD3	gvirus	COPS5	gcancer	cov2
BRD4	gvirus	TP53	gcancer	cov2
CSNK2B	gvirus	TP53	gcancer	cov2
GDF15	gvirus	TP53	gcancer	cov2
CCDC22	gvirus	COPS5	gcancer	cov2
COMMD9	gvirus	COPS5	gcancer	cov2
TRIM32	gvirus	TP53	gcancer	cov2
GNB1	gvirus	ACKR3	gcancer	cov2
GNB1	gvirus	GRP	gcancer	cov2
TBK1	gvirus	TNF	gcancer	cov2
TIMM10B	gvirus	TAZ	gcancer	cov2
COMMD8	gvirus	KEAP1	gcancer	cov2
PRKAR2A	gvirus	BCL2	gcancer	cov2
RHOA	gvirus	DLC1	gcancer	cov2
RHOA	gvirus	ARHGAP10	gcancer	cov2
RHOA	gvirus	EGF	gcancer	cov2
RHOA	gvirus	RAP1A	gcancer	cov2
COMMD3	gvirus	KEAP1	gcancer	cov2
RAB7A	gvirus	RAP1A	gcancer	cov2
RAB7A	gvirus	KIF4A	gcancer	cov2
PRKACA	gvirus	FOXO3	gcancer	cov2
PRKACA	gvirus	RAP1A	gcancer	cov2
PLAT	gvirus	EGF	gcancer	cov2
CCDC22	gvirus	KEAP1	gcancer	cov2
COMMD9	gvirus	KEAP1	gcancer	cov2
TRIM32	gvirus	UBE2C	gcancer	cov2
TRIM32	gvirus	KEAP1	gcancer	cov2
AP2A2	gvirus	EGF	gcancer	cov2
AP2A2	gvirus	KIF4A	gcancer	cov2
ANO6	gvirus	RAP1A	gcancer	cov2
STK3	gvirus	YAP1	gcancer	cov2
RAB1A	gvirus	KIF4A	gcancer	cov2
COMMD8	gvirus	CUL3	gcancer	cov2
NOL10	gvirus	DHX33	gcancer	cov2
DDX10	gvirus	DHX33	gcancer	cov2
NGDN	gvirus	DHX33	gcancer	cov2
RALA	gvirus	MAPK8	gcancer	cov2
NUP214	gvirus	MDM2	gcancer	cov2
RHOA	gvirus	MAPK8	gcancer	cov2
COMMD3	gvirus	CUL3	gcancer	cov2
DDX21	gvirus	SMARCA5	gcancer	cov2
BRD4	gvirus	SIRT1	gcancer	cov2
UBAP2L	gvirus	BAP1	gcancer	cov2
AATF	gvirus	DHX33	gcancer	cov2
PRKACA	gvirus	RET	gcancer	cov2
PRKACA	gvirus	SOX9	gcancer	cov2
CCDC22	gvirus	CUL3	gcancer	cov2
COMMD9	gvirus	CUL3	gcancer	cov2
TRIM32	gvirus	CUL3	gcancer	cov2
MPHOSPH10	gvirus	DHX33	gcancer	cov2
RAB10	gvirus	RAB37	gcancer	cov2
PRKAR2A	gvirus	ITGB1	gcancer	cov2
NUP98	gvirus	CDH1	gcancer	cov2
POFUT1	gvirus	NOTCH1	gcancer	cov2
RALA	gvirus	KRAS	gcancer	cov2
RHOA	gvirus	CDH1	gcancer	cov2
RHOA	gvirus	ITGB1	gcancer	cov2
RHOA	gvirus	RAF1	gcancer	cov2
RHOA	gvirus	KRAS	gcancer	cov2
RHOA	gvirus	ROCK1	gcancer	cov2
FBN2	gvirus	ITGB1	gcancer	cov2
RAB2A	gvirus	RAB37	gcancer	cov2
RAB7A	gvirus	CDH1	gcancer	cov2
RAB7A	gvirus	KIF2C	gcancer	cov2
RAB7A	gvirus	RAB37	gcancer	cov2
AATF	gvirus	RB1	gcancer	cov2
PRKACA	gvirus	ITGB1	gcancer	cov2
PRKACA	gvirus	RAF1	gcancer	cov2
SUN2	gvirus	LMNB1	gcancer	cov2
EXOSC5	gvirus	TDP2	gcancer	cov2
LOX	gvirus	NOTCH1	gcancer	cov2
ANO6	gvirus	TMC6	gcancer	cov2
ANO6	gvirus	RAB37	gcancer	cov2
GNB1	gvirus	KRAS	gcancer	cov2
RAB1A	gvirus	KIF2C	gcancer	cov2
RAB1A	gvirus	RAB37	gcancer	cov2
