gene	oncg	tsg	driv	count
KRAS	1	0	1	115
APC	0	1	1	68
MYC	1	0	1	63
TP53	1	1	1	38
BRAF	1	0	1	24
EGFR	1	0	1	14
CTNNB1	1	0	1	15
CDK8	1	0	0	10
HPGD	0	1	0	9
KLF4	1	1	0	10
SLC5A8	0	1	0	7
TBX5	0	1	0	7
RAB25	0	1	0	6
INPP4B	1	0	0	6
NTRK1	1	0	0	9
MET	1	0	0	5
MACC1	1	0	0	5
CCND1	1	0	0	5
SRC	1	0	0	5
PTEN	0	1	0	6
NTRK3	0	1	0	4
TMED3	0	1	0	4
DCC	0	1	0	4
CDKN2A	1	1	0	6
CDKN1A	0	1	0	4
TRIM15	0	1	0	4
CASR	0	1	0	4
PTGDR	1	0	0	4
CCN4	1	0	0	4
RASSF1	0	1	0	3
ATOH1	0	1	0	3
SMAD4	0	1	0	3
ALOX15	0	1	0	3
E2F2	0	1	0	3
CELF2	0	1	0	3
HCAR2	0	1	0	3
SASH1	0	1	0	3
RET	1	1	0	5
PTGS2	1	0	0	3
MYB	1	0	0	6
FOS	1	0	0	3
ERBB2	1	0	0	3
MARK2	1	0	0	3
SALL4	1	0	0	3
HNF1A	1	0	0	3
STAT3	1	0	0	3
SOX2	1	0	0	3
BCL9	1	0	0	3
PTPRK	1	1	0	4
YAP1	1	0	1	4
