gene	oncg	tsg	driv	count
WT1	1	1	0	413
VHL	1	1	1	179
FLCN	1	1	0	20
AMER1	0	1	0	14
METTL3	0	1	0	11
MYC	1	0	1	26
MET	1	0	0	28
KANK1	0	1	0	9
SETD2	0	1	0	12
MYCN	1	0	0	7
KRAS	1	0	1	10
TP53	0	1	0	14
HACE1	0	1	0	5
WNT10A	1	0	0	5
CTNNB1	1	0	0	7
JADE1	0	1	0	4
EGFR	1	0	0	4
BRAF	1	0	0	4
CMTM4	0	1	0	3
RASSF1	0	1	0	5
PTEN	1	1	0	7
BAP1	0	1	0	3
SMAD4	0	1	0	3
FAM107A	0	1	0	3
UNC5D	0	1	0	3
RBM38	0	1	0	3
FH	0	1	0	3
DPEP1	0	1	0	3
RET	1	0	0	3
CXCR4	1	0	0	3
SRC	1	0	0	3
NT5C1A	1	0	0	3
VEGFA	1	0	0	3
PBRM1	0	1	0	4
SPOP	1	1	0	4
KIT	1	0	0	4
